,ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
"2662,3109,Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,""4532,3"",Non"
"5271,6193,Femme,1,Non,18,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""74,7"",""1294,6"",Non"
"1305,1543,Femme,0,Non,46,Non,Non,Oui,Non,Bisannuel,Oui,Cheque electronique,""21,1"",""937,1"",Non"
"2765,3237,Homme,0,Non,16,Oui,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""55,3"",""875,35"",Non"
"3337,3914,Homme,0,Non,72,Oui,Non,Oui,Oui,Bisannuel,Non,Carte bancaire,""24,8"",""1874,3"",Non"
"3139,3683,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""69,1"",""69,1"",Oui"
"1654,1948,Femme,0,Non,70,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,""90,25"",""6385,95"",Non"
"1340,1581,Femme,1,Non,21,Oui,DSL,Oui,Oui,Annuel,Non,Virement bancaire,""71,7"",""1497,05"",Non"
"831,977,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""69,9"",""69,9"",Oui"
"4181,4912,Homme,1,Non,72,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""84,8"",""6141,65"",Non"
"1456,1716,Femme,0,Oui,46,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,4"",""967,85"",Non"
"2764,3236,Femme,0,Non,61,Non,DSL,Non,Non,Annuel,Non,Carte bancaire,""43,7"",""2696,55"",Non"
"4110,4829,Femme,0,Non,39,Non,DSL,Non,Non,Mensuel,Non,Virement bancaire,""41,1"",""1597,05"",Non"
"238,279,Homme,0,Non,14,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,55,""771,95"",Non"
"92,102,Femme,0,Oui,1,Non,Non,Oui,Oui,Mensuel,Non,Cheque electronique,""19,45"",""19,45"",Non"
"3198,3756,Homme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""76,05"",""318,9"",Oui"
"4787,5630,Homme,1,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,05"",""20,05"",Oui"
"2603,3040,Homme,1,Non,72,Non,DSL,Non,Oui,Bisannuel,Oui,Carte bancaire,""64,45"",""4641,1"",Non"
"2163,2538,Homme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,""113,4"",""8164,1"",Non"
"2589,3026,Homme,0,Oui,67,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""26,3"",""1688,9"",Non"
"3835,4501,Homme,0,Oui,61,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,""103,9"",""6449,15"",Non"
"3418,4008,Homme,0,Non,55,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""25,7"",""1443,65"",Non"
"1001,1180,Homme,1,Non,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""94,3"",""3953,15"",Non"
"5046,5931,Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,""84,7"",""6185,15"",Non"
"4687,5508,Femme,0,Non,28,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""59,9"",""1654,7"",Non"
"3398,3986,Homme,1,Non,16,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,""54,55"",""825,1"",Non"
"3939,4630,Femme,0,Non,13,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""19,3"",""279,3"",Non"
"1504,1770,Homme,0,Non,71,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""93,25"",""6669,45"",Non"
"957,1127,Homme,0,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""74,65"",""544,55"",Oui"
"5291,6217,Homme,0,Oui,58,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""71,6"",""4230,25"",Non"
"5327,6259,Femme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Cheque papier,""19,9"",""45,75"",Non"
"1611,1899,Femme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""78,95"",""378,4"",Oui"
"1532,1803,Homme,0,Oui,7,Non,DSL,Non,Oui,Bisannuel,Non,Cheque papier,""38,55"",280,Non"
"5937,6982,Femme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""65,45"",""554,45"",Non"
"411,479,Homme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""96,1"",""453,4"",Oui"
"1405,1655,Homme,0,Oui,1,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,""18,8"",""18,8"",Non"
"3932,4621,Homme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""115,8"",""8332,15"",Non"
"5744,6760,Homme,1,Non,51,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""93,65"",""4839,15"",Non"
"2233,2617,Homme,0,Oui,6,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,""44,6"",""260,8"",Oui"
"5061,5951,Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,""24,7"",""24,7"",Non"
"3492,4096,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""82,3"",""214,4"",Non"
"2077,2440,Homme,0,Oui,17,Non,Non,Oui,Oui,Annuel,Non,Virement bancaire,""19,9"",""329,75"",Non"
"1034,1223,Homme,0,Oui,64,Non,DSL,Oui,Oui,Bisannuel,Non,Cheque papier,""69,25"",""4447,75"",Non"
"3789,4446,Femme,0,Non,63,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,98,""6218,45"",Non"
"5696,6705,Femme,0,Oui,59,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""106,15"",""6256,2"",Non"
"931,1097,Femme,0,Non,7,Non,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,""81,25"",""580,1"",Non"
"5458,6421,Homme,0,Non,32,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""79,25"",""2619,15"",Non"
"3307,3882,Homme,0,Non,71,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,""65,15"",""4681,75"",Non"
"633,745,Femme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,""44,05"",""202,15"",Non"
"1662,1958,Femme,0,Non,46,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""53,1"",""2459,8"",Non"
"498,583,Femme,1,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,2"",""346,2"",Oui"
"937,1105,Homme,0,Non,42,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,""19,55"",""839,4"",Non"
"415,484,Femme,0,Non,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""108,5"",""8003,8"",Non"
"2316,2712,Femme,0,Oui,28,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""90,1"",""2598,95"",Oui"
"3258,3825,Homme,0,Non,4,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""55,3"",""238,5"",Non"
"2519,2940,Homme,1,Non,12,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""83,8"",""1029,75"",Oui"
"2716,3179,Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""84,1"",""4348,65"",Oui"
"1919,2259,Homme,0,Non,56,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,""52,7"",""3019,7"",Non"
"757,895,Femme,0,Non,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""81,2"",""4965,1"",Non"
"4221,4959,Femme,0,Non,59,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""94,75"",""5597,65"",Non"
"1041,1231,Homme,0,Oui,47,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""87,2"",""4017,45"",Non"
"2197,2576,Femme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,""19,25"",""617,65"",Non"
"2941,3453,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""44,95"",""44,95"",Non"
"3085,3617,Femme,1,Non,69,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,""87,3"",""6055,55"",Non"
"2450,2861,Homme,1,Non,67,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""101,4"",""6841,05"",Non"
"596,699,Homme,1,Oui,47,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""84,95"",""4018,05"",Non"
"5584,6573,Homme,0,Non,68,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""90,8"",""6302,85"",Non"
"4558,5351,Homme,0,Oui,53,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,""69,7"",""3686,05"",Non"
"1068,1265,Homme,0,Oui,69,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""95,2"",""6671,7"",Non"
"3290,3865,Femme,0,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""100,2"",""2983,8"",Oui"
"3021,3545,Homme,0,Non,31,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""93,8"",""3019,5"",Oui"
"2118,2485,Homme,0,Oui,12,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,""20,5"",""255,5"",Non"
"3206,3765,Femme,0,Non,11,Oui,Non,Oui,Non,Annuel,Non,Cheque electronique,""25,2"",""245,15"",Non"
"652,767,Homme,0,Non,22,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""78,85"",""1600,25"",Non"
"4957,5829,Femme,0,Oui,72,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""24,45"",""1709,1"",Non"
"4796,5642,Homme,0,Oui,39,Oui,Non,Oui,Non,Annuel,Non,Virement bancaire,""25,45"",""958,45"",Non"
"2868,3362,Femme,1,Non,64,Oui,DSL,Oui,Non,Mensuel,Non,Carte bancaire,""74,65"",""4869,35"",Non"
"1921,2261,Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""80,1"",""217,55"",Oui"
"5829,6860,Femme,0,Non,71,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Cheque papier,""111,3"",""7985,9"",Non"
"2932,3442,Femme,0,Oui,34,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""60,8"",""2042,05"",Non"
"2018,2370,Homme,0,Non,64,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,""99,25"",""6549,45"",Non"
"2378,2783,Homme,0,Oui,38,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,""85,4"",3297,Non"
"75,82,Femme,0,Oui,11,Non,DSL,Non,Oui,Mensuel,Non,Cheque electronique,""50,55"",""565,35"",Non"
"4672,5488,Homme,0,Oui,33,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,""20,15"",""682,15"",Non"
"5264,6181,Femme,1,Non,66,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,""102,4"",""6471,85"",Non"
"4955,5827,Femme,0,Non,1,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""79,35"",""79,35"",Oui"
"5040,5924,Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,25"",""487,05"",Non"
"3864,4534,Femme,0,Non,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,""105,15"",7555,Non"
"1876,2204,Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""104,9"",""7537,5"",Non"
"3100,3635,Homme,1,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,""113,8"",""7845,8"",Non"
"2182,2558,Homme,0,Non,3,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""45,45"",""141,7"",Non"
"3933,4622,Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""49,45"",""314,6"",Non"
"2025,2377,Homme,0,Non,11,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""61,25"",""729,95"",Non"
"1010,1192,Homme,0,Oui,35,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""69,15"",""2490,15"",Non"
"1029,1218,Homme,0,Non,62,Oui,Non,Oui,Oui,Annuel,Oui,Carte bancaire,""23,75"",""1446,8"",Non"
"2177,2553,Femme,0,Non,47,Oui,Non,Oui,Oui,Annuel,Non,Cheque electronique,""26,9"",""1250,85"",Non"
"828,973,Homme,0,Non,58,Non,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,""70,1"",""4048,95"",Non"
"4895,5758,Femme,1,Non,28,Oui,Non,Oui,Oui,Mensuel,Non,Cheque papier,""25,7"",""734,6"",Non"
5733,6749,Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,85,85,Oui
"96,106,Homme,0,Non,5,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,""24,3"",""100,2"",Non"
"4165,4894,Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""44,65"",""74,9"",Oui"
"4585,5383,Homme,0,Oui,56,Non,DSL,Non,Oui,Annuel,Oui,Cheque papier,52,""2884,9"",Non"
"5629,6624,Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""76,45"",""76,45"",Oui"
"4038,4746,Femme,0,Non,34,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""100,45"",""3414,65"",Non"
"1200,1418,Femme,1,Non,18,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,""49,85"",""865,75"",Non"
"621,729,Femme,1,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""91,7"",""2758,15"",Oui"
"5440,6399,Homme,0,Oui,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,106,""7723,7"",Oui"
"1412,1662,Femme,1,Non,65,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""108,8"",""7082,45"",Non"
"566,663,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,05"",""20,05"",Non"
"543,631,Homme,1,Oui,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""110,75"",""4687,9"",Oui"
"1334,1575,Femme,0,Oui,15,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,65"",""270,6"",Non"
"5934,6978,Homme,0,Non,24,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""49,7"",""1218,25"",Non"
"51,57,Femme,0,Oui,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""99,65"",""6311,2"",Non"
"5033,5917,Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Carte bancaire,""112,75"",""8192,6"",Non"
"1740,2046,Femme,0,Non,69,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,""110,5"",""7455,45"",Non"
"5694,6703,Homme,0,Oui,18,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""85,6"",""1601,5"",Non"
"1558,1835,Homme,1,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""45,1"",""45,1"",Oui"
"745,883,Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""83,9"",""497,55"",Oui"
"4299,5051,Homme,0,Non,66,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""106,05"",""6981,35"",Oui"
"3779,4434,Femme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""75,65"",""302,35"",Non"
"1467,1727,Homme,0,Non,30,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""49,9"",""1441,95"",Non"
"4032,4740,Femme,0,Non,11,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,79,""929,3"",Non"
"195,230,Femme,0,Oui,47,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""85,3"",""4107,25"",Non"
"1665,1961,Femme,0,Oui,33,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Carte bancaire,""88,6"",""2888,7"",Non"
"5001,5879,Homme,0,Non,3,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""21,2"",""52,05"",Non"
"3753,4404,Femme,0,Oui,32,Oui,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,""62,45"",""2045,55"",Non"
"802,943,Homme,0,Non,24,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""79,85"",2001,Non"
"1618,1908,Femme,0,Non,7,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""78,5"",""571,05"",Non"
"3245,3810,Homme,0,Non,50,Non,Non,Oui,Non,Annuel,Non,Carte bancaire,""20,15"",""989,05"",Non"
"4169,4898,Homme,0,Oui,15,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,""30,2"",""469,65"",Non"
"620,728,Femme,0,Oui,5,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""80,85"",""356,1"",Non"
"1738,2044,Homme,1,Non,16,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""69,65"",""1043,3"",Non"
"5186,6097,Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""70,2"",""70,2"",Non"
"5055,5944,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""84,85"",""84,85"",Oui"
"4102,4819,Homme,1,Non,64,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,""80,3"",""5017,7"",Non"
"5434,6393,Femme,0,Oui,60,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,""49,75"",""3069,45"",Non"
"4664,5479,Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,""106,3"",5487,Non"
"644,759,Femme,0,Oui,15,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""85,9"",""1269,55"",Oui"
"2291,2684,Femme,0,Non,7,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""79,65"",""604,7"",Oui"
"4480,5267,Homme,0,Oui,37,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""58,75"",""2203,1"",Non"
"1777,2091,Femme,0,Oui,48,Non,DSL,Non,Oui,Mensuel,Oui,Carte bancaire,""29,5"",""1423,05"",Non"
"1061,1255,Femme,1,Non,55,Non,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""88,8"",""4805,3"",Non"
"4147,4876,Femme,1,Non,48,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""117,45"",""5438,9"",Oui"
"5184,6095,Homme,0,Non,57,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,""20,55"",""1252,85"",Non"
"120,137,Femme,0,Non,23,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,75,""1778,5"",Non"
"2899,3396,Homme,0,Non,62,Oui,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,""90,7"",""5586,45"",Non"
"2441,2852,Femme,0,Oui,64,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,""90,6"",""5817,45"",Non"
"4119,4839,Femme,0,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""109,7"",""7344,45"",Non"
"4806,5653,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""48,6"",""48,6"",Non"
"3044,3570,Homme,0,Non,17,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,95"",""310,6"",Non"
"1230,1458,Homme,0,Non,42,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""108,3"",""4586,15"",Non"
"3349,3928,Homme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Carte bancaire,""20,55"",""51,15"",Oui"
"5670,6673,Homme,0,Non,27,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,""20,35"",""531,6"",Non"
"3547,4162,Homme,1,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""49,95"",""107,1"",Non"
"4076,4790,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""71,1"",""71,1"",Oui"
"3285,3860,Femme,0,Non,54,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,""94,75"",""5121,75"",Non"
"134,153,Femme,0,Oui,70,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""108,15"",""7930,55"",Non"
"5075,5968,Homme,1,Non,4,Non,DSL,Non,Non,Mensuel,Oui,Virement bancaire,""25,2"",""102,5"",Oui"
"5646,6647,Homme,0,Oui,51,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,""19,4"",""997,75"",Non"
"4712,5543,Femme,0,Non,67,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,""86,15"",""5883,85"",Non"
"2666,3115,Homme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,""75,15"",""392,65"",Non"
"5171,6080,Femme,0,Non,25,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""54,1"",1373,Non"
"3340,3918,Homme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""69,1"",""69,1"",Oui"
"511,597,Homme,0,Non,16,Non,DSL,Non,Non,Bisannuel,Non,Cheque papier,""54,85"",""916,15"",Non"
"62,69,Femme,0,Oui,50,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""20,15"",""930,9"",Non"
"1553,1828,Femme,0,Oui,45,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,""50,9"",""2333,85"",Non"
"5045,5930,Homme,1,Non,62,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""89,1"",""5618,3"",Non"
"5203,6115,Homme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""66,65"",""520,95"",Non"
"5081,5976,Homme,0,Oui,7,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""89,75"",""608,8"",Oui"
"1706,2012,Homme,0,Oui,53,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""85,7"",""4616,1"",Non"
"2209,2590,Homme,1,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""76,05"",""231,8"",Oui"
"4943,5815,Homme,0,Non,16,Non,Non,Oui,Non,Mensuel,Oui,Carte bancaire,""20,6"",""330,25"",Non"
"5397,6348,Homme,0,Non,15,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""68,6"",""1108,6"",Non"
"679,798,Femme,0,Oui,20,Oui,Non,Oui,Oui,Mensuel,Oui,Virement bancaire,""25,55"",""507,4"",Non"
"3661,4295,Femme,0,Non,12,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""85,15"",""979,05"",Non"
"1211,1433,Homme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,""20,75"",""739,9"",Non"
"122,139,Homme,0,Oui,57,Non,Non,Oui,Non,Bisannuel,Oui,Cheque papier,""19,6"",""1170,55"",Non"
"2627,3068,Homme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""84,4"",""556,35"",Oui"
"2404,2812,Femme,0,Oui,39,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,75"",""757,95"",Non"
"4051,4761,Homme,0,Oui,66,Non,DSL,Oui,Oui,Annuel,Oui,Cheque electronique,""75,1"",5013,Non"
"3454,4051,Homme,1,Non,58,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""98,9"",""5780,7"",Non"
"4801,5648,Femme,0,Non,46,Non,DSL,Oui,Oui,Mensuel,Oui,Carte bancaire,""69,1"",3168,Non"
"1210,1432,Femme,0,Non,43,Oui,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,""64,85"",""2908,2"",Non"
"567,664,Homme,0,Oui,65,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,""69,55"",""4459,15"",Non"
