Genre,Senior,Enfants,Anciennete,Multi_lignes,Service_Internet,Autres_Services,Partenaire,Contrat,Facturation_electronique,Mode_de_paiement,charges_mensuelles,Charges_totales,target
Homme,1,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,20.05,20.05,Oui
Homme,1,Non,72,Non,DSL,Non,Oui,Bisannuel,Oui,Carte bancaire,64.45,4641.1,Non
Homme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,113.4,8164.1,Non
Homme,0,Oui,67,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,26.3,1688.9,Non
Homme,0,Oui,61,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,103.9,6449.15,Non
Homme,0,Non,55,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,25.7,1443.65,Non
Homme,1,Non,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,94.3,3953.15,Non
Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,84.7,6185.15,Non
Femme,0,Non,28,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,59.9,1654.7,Non
Homme,1,Non,16,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,54.55,825.1,Non
Femme,0,Non,13,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,19.3,279.3,Non
Homme,0,Non,71,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,93.25,6669.45,Non
Homme,0,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,74.65,544.55,Oui
Homme,0,Oui,58,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,71.6,4230.25,Non
Femme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Cheque papier,19.9,45.75,Non
Femme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,78.95,378.4,Oui
Homme,0,Oui,7,Non,DSL,Non,Oui,Bisannuel,Non,Cheque papier,38,55.280,Non
Femme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,65.45,554.45,Non
Homme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,96.1,453.4,Oui
Homme,0,Oui,1,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,18.8,18.8,Non
Homme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,115.8,8332.15,Non
Homme,1,Non,51,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,93.65,4839.15,Non
Homme,0,Oui,6,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,44.6,260.8,Oui
Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,24.7,24.7,Non
Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,82.3,214.4,Non
Homme,0,Oui,17,Non,Non,Oui,Oui,Annuel,Non,Virement bancaire,19.9,329.75,Non
Homme,0,Oui,64,Non,DSL,Oui,Oui,Bisannuel,Non,Cheque papier,69.25,4447.75,Non
Femme,0,Non,63,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,98,6218.45,Non
Femme,0,Oui,59,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,106.15,6256.2,Non
Femme,0,Non,7,Non,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,81.25,580.1,Non
Homme,0,Non,32,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,79.25,2619.15,Non
Homme,0,Non,71,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,65.15,4681.75,Non
Femme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,44.05,202.15,Non
Femme,0,Non,46,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,53.1,2459.8,Non
Femme,1,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,89.2,346.2,Oui
Homme,0,Non,42,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,19.55,839.4,Non
Femme,0,Non,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,108.5,8003.8,Non
Femme,0,Oui,28,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,90.1,2598.95,Oui
Homme,0,Non,4,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,55.3,238.5,Non
Homme,1,Non,12,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,83.8,1029.75,Oui
Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,84.1,4348.65,Oui
Homme,0,Non,56,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,52.7,3019.7,Non
Femme,0,Non,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,81.2,4965.1,Non
Femme,0,Non,59,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,94.75,5597.65,Non
Homme,0,Oui,47,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,87.2,4017.45,Non
Femme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,19.25,617.65,Non
Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,44.95,44.95,Non
Femme,1,Non,69,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,87.3,6055.55,Non
Homme,1,Non,67,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,101.4,6841.05,Non
Homme,1,Oui,47,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,84.95,4018.05,Non
Homme,0,Non,68,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,90.8,6302.85,Non
Homme,0,Oui,53,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,69.7,3686.05,Non
Homme,0,Oui,69,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,95.2,6671.7,Non
Femme,0,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,100.2,2983.8,Oui
Homme,0,Non,31,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,93.8,3019.5,Oui
Homme,0,Oui,12,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,20.5,255.5,Non
Femme,0,Non,11,Oui,Non,Oui,Non,Annuel,Non,Cheque electronique,25.2,245.15,Non
Homme,0,Non,22,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,78.85,1600.25,Non
Femme,0,Oui,72,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,24.45,1709.1,Non
Homme,0,Oui,39,Oui,Non,Oui,Non,Annuel,Non,Virement bancaire,25.45,958.45,Non
Femme,1,Non,64,Oui,DSL,Oui,Non,Mensuel,Non,Carte bancaire,74.65,4869.35,Non
Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,80.1,217.55,Oui
Femme,0,Non,71,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Cheque papier,111.3,7985.9,Non
Femme,0,Oui,34,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,60.8,2042.05,Non
Homme,0,Non,64,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,99.25,6549.45,Non
Homme,0,Oui,38,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,85,4.3297,Non
Femme,0,Oui,11,Non,DSL,Non,Oui,Mensuel,Non,Cheque electronique,50.55,565.35,Non
Homme,0,Oui,33,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,20.15,682.15,Non
Femme,1,Non,66,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,102.4,6471.85,Non
Femme,0,Non,1,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,79.35,79.35,Oui
Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,89.25,487.05,Non
Femme,0,Non,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,105,15.7555,Non
Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,104.9,7537.5,Non
Homme,1,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,113.8,7845.8,Non
Homme,0,Non,3,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,45.45,141.7,Non
Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,49.45,314.6,Non
Homme,0,Non,11,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,61.25,729.95,Non
Homme,0,Oui,35,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,69.15,2490.15,Non
Homme,0,Non,62,Oui,Non,Oui,Oui,Annuel,Oui,Carte bancaire,23.75,1446.8,Non
Femme,0,Non,47,Oui,Non,Oui,Oui,Annuel,Non,Cheque electronique,26.9,1250.85,Non
Homme,0,Non,58,Non,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,70.1,4048.95,Non
Femme,1,Non,28,Oui,Non,Oui,Oui,Mensuel,Non,Cheque papier,25.7,734.6,Non
Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,85,85,Oui
Homme,0,Non,5,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,24.3,100.2,Non
Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,44.65,74.9,Oui
Homme,0,Oui,56,Non,DSL,Non,Oui,Annuel,Oui,Cheque papier,52,2884.9,Non
Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,76.45,76.45,Oui
Femme,0,Non,34,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,100.45,3414.65,Non
Femme,1,Non,18,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,49.85,865.75,Non
Femme,1,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,91.7,2758.15,Oui
Homme,0,Oui,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,106,7723.7,Oui
Femme,1,Non,65,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,108.8,7082.45,Non
Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,20.05,20.05,Non
Homme,1,Oui,43,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,110.75,4687.9,Oui
Femme,0,Oui,15,Non,Non,Oui,Non,Annuel,Non,Cheque papier,19.65,270.6,Non
Homme,0,Non,24,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,49.7,1218.25,Non
Femme,0,Oui,63,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,99.65,6311.2,Non
Femme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Carte bancaire,112.75,8192.6,Non
Femme,0,Non,69,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,110.5,7455.45,Non
Homme,0,Oui,18,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,85.6,1601.5,Non
Homme,1,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,45.1,45.1,Oui
Femme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,83.9,497.55,Oui
Homme,0,Non,66,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,106.05,6981.35,Oui
Femme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,75.65,302.35,Non
Homme,0,Non,30,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,49.9,1441.95,Non
Femme,0,Non,11,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,79,929.3,Non
Femme,0,Oui,47,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,85.3,4107.25,Non
Femme,0,Oui,33,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Carte bancaire,88.6,2888.7,Non
Homme,0,Non,3,Non,Non,Oui,Non,Annuel,Non,Cheque papier,21.2,52.05,Non
Femme,0,Oui,32,Oui,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,62.45,2045.55,Non
Homme,0,Non,24,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,79,85.2001,Non
Femme,0,Non,7,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,78.5,571.05,Non
Homme,0,Non,50,Non,Non,Oui,Non,Annuel,Non,Carte bancaire,20.15,989.05,Non
Homme,0,Oui,15,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,30.2,469.65,Non
Femme,0,Oui,5,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,80.85,356.1,Non
Homme,1,Non,16,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,69.65,1043.3,Non
Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,70.2,70.2,Non
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,84.85,84.85,Oui
Homme,1,Non,64,Non,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,80.3,5017.7,Non
Femme,0,Oui,60,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,49.75,3069.45,Non
Homme,0,Non,52,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,106,3.5487,Non
Femme,0,Oui,15,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,85.9,1269.55,Oui
Femme,0,Non,7,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,79.65,604.7,Oui
Homme,0,Oui,37,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,58.75,2203.1,Non
Femme,0,Oui,48,Non,DSL,Non,Oui,Mensuel,Oui,Carte bancaire,29.5,1423.05,Non
Femme,1,Non,55,Non,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,88.8,4805.3,Non
Femme,1,Non,48,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,117.45,5438.9,Oui
Homme,0,Non,57,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,20.55,1252.85,Non
Femme,0,Non,23,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,75,1778.5,Non
Homme,0,Non,62,Oui,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,90.7,5586.45,Non
Femme,0,Oui,64,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,90.6,5817.45,Non
Femme,0,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,109.7,7344.45,Non
Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,48.6,48.6,Non
Homme,0,Non,17,Non,Non,Oui,Non,Annuel,Non,Cheque papier,19.95,310.6,Non
Homme,0,Non,42,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,108.3,4586.15,Non
Homme,0,Non,3,Non,Non,Oui,Oui,Mensuel,Oui,Carte bancaire,20.55,51.15,Oui
Homme,0,Non,27,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,20.35,531.6,Non
Homme,1,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,49.95,107.1,Non
Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,71.1,71.1,Oui
Femme,0,Non,54,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,94.75,5121.75,Non
Femme,0,Oui,70,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,108.15,7930.55,Non
Homme,1,Non,4,Non,DSL,Non,Non,Mensuel,Oui,Virement bancaire,25.2,102.5,Oui
Homme,0,Oui,51,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,19.4,997.75,Non
Femme,0,Non,67,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,86.15,5883.85,Non
Homme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,75.15,392.65,Non
Femme,0,Non,25,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,54,1.1373,Non
Homme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,69.1,69.1,Oui
Homme,0,Non,16,Non,DSL,Non,Non,Bisannuel,Non,Cheque papier,54.85,916.15,Non
Femme,0,Oui,50,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,20.15,930.9,Non
Femme,0,Oui,45,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,50.9,2333.85,Non
Homme,1,Non,62,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,89.1,5618.3,Non
Homme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,66.65,520.95,Non
Homme,0,Oui,7,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,89.75,608.8,Oui
Homme,0,Oui,53,Oui,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,85.7,4616.1,Non
Homme,1,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,76.05,231.8,Oui
Homme,0,Non,16,Non,Non,Oui,Non,Mensuel,Oui,Carte bancaire,20.6,330.25,Non
Homme,0,Non,15,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,68.6,1108.6,Non
Femme,0,Oui,20,Oui,Non,Oui,Oui,Mensuel,Oui,Virement bancaire,25.55,507.4,Non
Femme,0,Non,12,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,85.15,979.05,Non
Homme,0,Non,35,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,20.75,739.9,Non
Homme,0,Oui,57,Non,Non,Oui,Non,Bisannuel,Oui,Cheque papier,19.6,1170.55,Non
Homme,0,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,84.4,556.35,Oui
Femme,0,Oui,39,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,19.75,757.95,Non
Homme,0,Oui,66,Non,DSL,Oui,Oui,Annuel,Oui,Cheque electronique,75,1.5013,Non
Homme,1,Non,58,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,98.9,5780.7,Non
Femme,0,Non,46,Non,DSL,Oui,Oui,Mensuel,Oui,Carte bancaire,69,1.3168,Non
Femme,0,Non,43,Oui,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,64.85,2908.2,Non
Homme,0,Oui,65,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,69.55,4459.15,Non
Femme,1,Non,60,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,89.45,5294.6,Non
Homme,0,Non,31,Non,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,99.45,3109.9,Non
Homme,0,Non,4,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,40.05,162.45,Non
Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,49.65,267.35,Oui
Homme,0,Non,66,Non,DSL,Non,Non,Annuel,Non,Carte bancaire,29.45,1983.15,Non
Femme,0,Oui,69,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,20.15,1337.5,Non
Homme,0,Non,5,Non,DSL,Non,Non,Mensuel,Oui,Cheque papier,43,25.219,Oui
Femme,1,Non,35,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Virement bancaire,102.05,3452.55,Non
Homme,0,Non,38,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,95.1,3691.2,Non
Homme,1,Non,51,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,79.6,3974.7,Non
Femme,0,Oui,12,Non,DSL,Non,Oui,Annuel,Non,Carte bancaire,33.15,444.75,Non
Homme,0,Oui,6,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,69.8,377.85,Non
Femme,0,Oui,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,59.2,59.2,Oui
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,69.55,69.55,Oui
Femme,0,Non,65,Non,DSL,Oui,Non,Bisannuel,Oui,Cheque papier,59.6,3739.8,Non
Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,75.35,75.35,Oui
Femme,0,Non,4,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,68.65,261.25,Oui
Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,70.25,70.25,Oui
Femme,0,Non,28,Oui,Non,Oui,Oui,Annuel,Non,Cheque papier,25.55,672.2,Non
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,70.4,70.4,Oui
Homme,0,Oui,5,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,20.1,85.1,Non
Homme,0,Oui,46,Non,DSL,Oui,Oui,Annuel,Non,Cheque papier,56.9,2560.1,Non
Homme,0,Non,37,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,96.1,3646.8,Non
Femme,1,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,74.4,434.1,Oui
Femme,0,Oui,12,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,76,6.893,Non
Femme,0,Oui,72,Non,DSL,Non,Oui,Bisannuel,Oui,Cheque electronique,60,4264,Non
Homme,1,Non,29,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,94.45,2653.65,Oui
Homme,0,Non,31,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,90.55,2929.75,Non
Homme,0,Non,65,Non,Non,Oui,Non,Bisannuel,Oui,Carte bancaire,19.55,1218.65,Non
Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,107.7,7919.8,Non
Femme,0,Non,19,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque papier,89.65,1761.05,Oui
Homme,0,Oui,58,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Virement bancaire,94.35,5563.65,Non
Femme,0,Non,67,Non,DSL,Non,Non,Mensuel,Oui,Carte bancaire,53.4,3579.15,Non
Homme,0,Non,10,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,70,740,Oui
Femme,0,Non,64,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,25.55,1714.95,Non
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,71.55,71.55,Oui
Homme,0,Oui,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,87.55,6463.15,Non
Homme,0,Non,53,Oui,Non,Oui,Non,Bisannuel,Non,Cheque papier,24,6.1279,Non
Femme,0,Non,1,Oui,Non,Oui,Non,Mensuel,Oui,Cheque papier,25.75,25.75,Non
Femme,1,Non,71,Oui,DSL,Oui,Non,Bisannuel,Non,Cheque papier,89.85,6293.45,Non
Femme,1,Non,21,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,95.4,2025.1,Non
Femme,0,Non,11,Non,DSL,Oui,Non,Mensuel,Non,Carte bancaire,48,55.501,Oui
Femme,0,Non,23,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,44.95,996.85,Non
